uid,id,score
u00001,a03859,4
u00001,a00778,3
u00001,a02900,3
u00001,a05151,1
u00001,a04033,4
u00001,a04492,2
u00001,a01812,2
u00001,a06340,5
u00001,a00735,5
u00001,a00401,3
u00001,a03729,2
u00001,a04545,4
u00001,a02224,1
u00001,a01171,3
u00001,a03161,4
u00001,a02398,4
u00001,a04565,3
u00001,a00579,5
u00001,a06828,1
u00001,a04858,4
u00001,a00642,5
u00001,a05369,4
u00001,a03147,2
u00001,a04898,5
u00001,a06787,2
u00001,a06872,5
u00001,a02045,5
u00001,a01443,5
u00001,a03735,1
u00001,a04558,5
u00001,a04692,4
u00001,a06900,2
u00001,a06779,4
u00001,a05114,5
u00001,a04977,2
u00001,a06954,1
u00001,a04102,5
u00001,a06830,4
u00001,a01513,4
u00001,a04281,1
u00001,a03076,2
u00001,a05014,2
u00001,a00910,3
u00001,a02101,5
u00001,a04530,1
u00001,a00534,1
u00001,a03505,3
u00001,a06240,2
u00001,a04753,5
u00001,a06485,1
u00001,a03550,4
u00001,a03503,5
u00001,a00323,3
u00001,a02911,5
u00001,a01315,1
u00001,a01830,4
u00001,a05773,4
u00001,a05176,4
u00001,a02602,3
u00001,a03854,1
u00001,a05440,5
u00001,a00799,4
u00001,a00091,2
u00001,a05115,5
u00001,a05184,1
u00001,a05859,4
u00001,a06248,1
u00001,a02388,2
u00001,a01110,1
u00001,a01220,4
u00001,a06753,5
u00001,a01441,3
u00001,a06071,4
u00001,a00775,3
u00001,a00922,4
u00001,a01271,3
u00001,a05051,1
u00001,a02337,1
u00001,a02687,5
u00001,a06878,1
u00001,a01730,3
u00001,a04516,1
u00001,a02920,4
u00001,a03745,5
u00001,a06149,3
u00001,a02577,4
u00001,a02481,1
u00001,a03621,2
u00001,a01205,1
u00001,a06885,4
u00001,a02300,2
u00001,a04969,1
u00002,a05062,3
u00002,a03636,5
u00002,a06924,1
u00002,a02251,5
u00002,a05207,2
u00002,a00924,4
u00002,a03766,5
u00002,a06458,5
u00002,a03115,5
u00002,a01729,3
u00002,a03425,4
u00002,a02483,4
u00002,a02684,2
u00002,a04257,4
u00002,a05127,4
u00002,a04848,4
u00002,a01988,3
u00002,a01193,3
u00002,a03950,3
u00002,a06207,4
u00002,a06939,1
u00002,a03944,3
u00002,a00993,2
u00002,a00390,5
u00002,a03373,5
u00002,a03023,3
u00002,a04834,3
u00002,a02988,2
u00002,a04104,1
u00002,a04961,1
u00002,a00842,3
u00002,a06844,4
u00002,a02847,2
u00002,a03600,4
u00002,a01392,2
u00002,a00150,5
u00002,a00244,4
u00002,a05464,4
u00002,a05344,4
u00002,a04329,2
u00002,a06225,4
u00002,a01142,3
u00002,a02249,3
u00002,a02173,1
u00002,a06244,3
u00002,a03539,4
u00002,a00545,2
u00002,a04019,5
u00002,a04546,1
u00002,a02497,4
u00002,a06126,5
u00002,a02187,3
u00002,a00044,5
u00002,a01019,3
u00002,a04185,3
u00002,a03017,5
u00002,a04063,2
u00002,a05339,5
u00002,a05442,5
u00002,a04773,4
u00002,a04895,5
u00002,a01677,4
u00002,a03972,4
u00002,a06132,1
u00002,a04187,3
u00002,a02509,3
u00002,a06180,2
u00002,a02119,2
u00002,a05408,2
u00002,a02100,4
u00002,a03013,4
u00002,a00003,4
u00002,a06946,4
u00002,a00023,3
u00002,a03938,2
u00002,a03329,5
u00002,a03812,4
u00002,a01243,3
u00002,a05211,1
u00002,a02983,3
u00002,a00378,3
u00002,a04796,4
u00002,a01999,3
u00002,a01532,5
u00002,a03464,2
u00002,a01732,2
u00002,a02040,3
u00002,a00755,2
u00002,a02866,4
u00002,a00331,3
u00002,a06233,4
u00002,a01749,4
u00002,a03097,5
u00002,a01657,4
u00002,a05583,4
u00003,a02893,3
u00003,a03007,1
u00003,a06729,2
u00003,a06445,3
u00003,a03428,5
u00003,a01136,5
u00003,a01595,1
u00003,a00931,4
u00003,a00374,4
u00003,a00897,2
u00003,a02868,4
u00003,a06840,4
u00003,a02858,3
u00003,a02796,1
u00003,a02253,1
u00003,a05005,5
u00003,a02298,5
u00003,a03218,1
u00003,a01309,3
u00003,a03162,5
u00003,a05884,3
u00003,a00144,5
u00003,a00265,2
u00003,a06828,3
u00003,a05009,2
u00003,a04355,3
u00003,a04818,4
u00003,a02849,5
u00003,a00297,2
u00003,a06739,3
u00003,a03787,4
u00003,a04138,1
u00003,a02033,5
u00003,a02213,2
u00003,a01550,3
u00003,a01774,2
u00003,a06022,1
u00003,a03836,3
u00003,a04891,2
u00003,a02761,5
u00003,a02804,4
u00003,a06793,3
u00003,a01929,2
u00003,a01712,4
u00003,a02690,5
u00003,a02381,2
u00003,a03195,1
u00003,a02625,5
u00003,a03295,5
u00003,a00087,1
u00003,a01998,2
u00003,a04732,2
u00003,a03409,4
u00003,a02574,4
u00003,a00060,5
u00003,a01550,3
u00003,a05341,3
u00003,a04575,4
u00003,a03870,5
u00003,a00882,2
u00003,a06599,2
u00003,a06672,4
u00003,a03916,4
u00003,a02237,3
u00003,a05579,4
u00003,a02713,1
u00003,a05345,4
u00003,a00650,2
u00003,a06293,2
u00003,a05466,1
u00003,a04269,1
u00003,a00232,5
u00003,a01271,1
u00003,a05906,1
u00003,a04763,5
u00003,a04508,3
u00003,a06226,2
u00003,a01678,5
u00003,a04534,2
u00003,a06836,2
u00003,a03714,1
u00003,a03184,1
u00003,a02326,4
u00003,a04610,5
u00003,a02085,5
u00003,a04379,1
u00003,a04806,5
u00003,a01684,1
u00003,a03063,5
u00003,a06633,3
u00003,a03917,2
u00003,a05826,3
u00004,a04783,3
u00004,a03538,3
u00004,a02398,5
u00004,a06279,4
u00004,a04154,1
u00004,a03944,2
u00004,a06012,3
u00004,a02064,5
u00004,a00188,4
u00004,a00568,5
u00004,a04851,1
u00004,a01882,4
u00004,a04516,2
u00004,a00562,4
u00004,a05197,4
u00004,a06651,5
u00004,a01444,1
u00004,a05633,2
u00004,a05676,1
u00004,a01879,5
u00004,a02203,3
u00004,a05332,3
u00004,a04654,4
u00004,a02272,2
u00004,a02918,3
u00004,a05154,5
u00004,a04400,3
u00004,a02554,1
u00004,a04345,2
u00004,a03079,4
u00004,a01725,5
u00004,a04889,2
u00004,a02572,3
u00004,a00692,5
u00004,a00771,2
u00004,a01981,2
u00004,a00938,1
u00004,a02575,1
u00004,a01746,5
u00004,a04243,4
u00004,a01349,4
u00004,a04388,4
u00004,a05123,1
u00004,a04289,3
u00004,a06805,5
u00004,a05394,5
u00004,a00528,1
u00004,a00256,3
u00004,a00439,3
u00004,a02095,1
u00004,a04206,5
u00004,a02901,3
u00004,a06877,3
u00004,a03162,3
u00004,a06629,4
u00004,a03562,4
u00004,a04908,3
u00004,a02767,1
u00004,a04898,4
u00004,a04209,1
u00004,a03614,4
u00004,a03374,5
u00004,a04365,3
u00004,a06810,5
u00004,a05843,2
u00004,a01612,5
u00004,a00868,4
u00004,a00963,1
u00004,a01747,3
u00004,a01423,1
u00004,a01353,2
u00004,a00259,1
u00004,a02765,5
u00004,a02029,3
u00004,a06462,2
u00004,a01864,4
u00004,a00744,1
u00004,a04385,3
u00004,a02710,2
u00004,a04666,2
u00004,a01793,4
u00004,a06156,5
u00004,a05809,1
u00004,a05263,3
u00004,a01733,1
u00004,a05907,2
u00004,a03258,4
u00004,a06083,1
u00004,a03007,4
u00004,a03634,1
u00005,a05999,2
u00005,a03681,1
u00005,a05712,2
u00005,a05557,1
u00005,a00448,1
u00005,a06158,4
u00005,a01096,1
u00005,a03419,4
u00005,a00696,2
u00005,a06162,5
u00005,a01289,1
u00005,a06300,4
u00005,a03175,4
u00005,a05006,5
u00005,a06080,3
u00005,a01668,1
u00005,a03832,4
u00005,a05479,2
u00005,a04075,1
u00005,a05746,3
u00005,a03203,5
u00005,a05167,2
u00005,a06092,4
u00005,a00520,3
u00005,a03649,3
u00005,a04550,2
u00005,a04635,3
u00005,a06779,1
u00005,a06045,4
u00005,a02877,5
u00005,a04318,4
u00005,a03494,3
u00005,a06940,5
u00005,a04253,5
u00005,a01766,4
u00005,a01251,2
u00005,a00524,2
u00005,a03737,1
u00005,a02294,5
u00005,a00137,1
u00005,a05423,5
u00005,a02360,4
u00005,a03997,1
u00005,a06323,5
u00005,a04190,2
u00005,a00186,5
u00005,a04097,1
u00005,a04780,5
u00005,a03354,3
u00005,a06362,4
u00005,a05363,5
u00005,a01828,2
u00005,a06328,4
u00005,a01375,1
u00005,a05822,2
u00005,a06256,4
u00005,a03794,5
u00005,a04816,1
u00005,a04437,3
u00005,a05917,4
u00005,a02962,3
u00005,a06207,2
u00005,a03751,1
u00005,a01170,2
u00005,a03293,4
u00005,a01239,1
u00005,a00797,1
u00005,a00429,2
u00005,a05078,3
u00005,a02652,1
u00005,a05371,3
u00005,a03953,4
u00005,a04484,4
u00005,a01434,3
u00005,a03387,1
u00005,a00218,1
u00005,a02354,3
u00005,a06476,2
u00005,a06904,1
u00005,a04163,5
u00005,a03106,4
u00005,a04220,1
u00005,a03370,3
u00005,a00628,4
u00005,a05408,4
u00005,a03460,4
u00005,a06774,3
u00005,a06560,4
u00005,a05930,3
u00005,a04749,3
u00005,a00873,2
u00005,a05157,4
u00005,a02570,2
u00006,a00376,4
u00006,a06117,1
u00006,a01958,2
u00006,a02734,1
u00006,a00947,4
u00006,a04598,4
u00006,a06703,3
u00006,a06505,2
u00006,a02713,1
u00006,a00882,5
u00006,a06334,1
u00006,a00716,4
u00006,a02987,1
u00006,a06239,1
u00006,a04943,1
u00006,a05324,3
u00006,a06635,3
u00006,a01988,4
u00006,a03465,1
u00006,a00378,1
u00006,a06369,5
u00006,a04774,1
u00006,a01084,2
u00006,a06677,2
u00006,a03827,3
u00006,a00714,4
u00006,a03033,3
u00006,a06367,3
u00006,a04194,4
u00006,a05047,3
u00006,a05072,2
u00006,a04736,5
u00006,a04681,4
u00006,a05495,4
u00006,a04806,2
u00006,a04784,3
u00006,a04376,2
u00006,a03202,5
u00006,a05965,2
u00006,a01385,5
u00006,a02024,5
u00006,a04419,4
u00006,a06299,1
u00006,a00942,5
u00006,a06756,4
u00006,a03275,5
u00006,a06285,3
u00006,a01712,1
u00006,a03160,3
u00006,a00553,5
u00006,a01337,1
u00006,a04298,2
u00006,a00770,2
u00006,a05694,2
u00006,a02772,5
u00006,a06559,4
u00006,a03454,4
u00006,a04667,3
u00006,a00430,2
u00006,a02055,4
u00006,a06270,2
u00006,a03687,5
u00006,a04706,5
u00006,a02001,1
u00006,a04037,1
u00006,a04242,2
u00006,a00791,5
u00006,a00972,2
u00006,a00116,3
u00006,a06783,5
u00006,a05631,5
u00006,a06876,2
u00006,a02278,5
u00006,a06674,5
u00006,a03413,4
u00006,a03947,3
u00006,a05794,3
u00006,a00313,4
u00006,a00499,4
u00006,a03228,1
u00006,a04548,3
u00006,a01050,4
u00006,a05719,1
u00006,a00594,2
u00006,a00451,3
u00006,a00392,5
u00006,a01938,3
u00006,a00441,5
u00006,a01328,3
u00006,a03907,2
u00006,a04703,2
u00006,a03355,5
u00007,a01386,3
u00007,a00605,1
u00007,a05060,3
u00007,a03430,2
u00007,a02443,1
u00007,a02908,1
u00007,a05324,2
u00007,a01956,3
u00007,a03773,4
u00007,a00796,4
u00007,a01393,2
u00007,a05768,4
u00007,a01399,3
u00007,a04039,4
u00007,a03357,1
u00007,a05477,5
u00007,a02852,1
u00007,a02334,3
u00007,a03651,5
u00007,a00286,5
u00007,a02781,1
u00007,a06529,3
u00007,a06897,1
u00007,a01939,5
u00007,a00617,2
u00007,a06424,3
u00007,a06534,4
u00007,a04920,1
u00007,a04373,2
u00007,a02000,3
u00007,a01121,1
u00007,a06776,2
u00007,a03321,5
u00007,a01605,2
u00007,a04100,5
u00007,a05589,5
u00007,a05516,5
u00007,a02210,2
u00007,a05080,4
u00007,a00961,4
u00007,a01720,1
u00007,a06355,2
u00007,a05758,4
u00007,a00713,3
u00007,a02260,5
u00007,a05596,3
u00007,a06187,4
u00007,a05138,2
u00007,a01095,2
u00007,a03368,1
u00007,a03014,3
u00007,a06048,2
u00007,a01703,4
u00007,a04911,5
u00007,a00439,3
u00007,a00367,2
u00007,a05648,5
u00007,a05747,3
u00007,a02552,4
u00007,a04903,3
u00007,a03015,3
u00007,a00545,3
u00007,a01931,2
u00007,a06288,2
u00007,a00644,2
u00007,a00556,4
u00007,a05141,5
u00007,a00537,2
u00007,a05932,2
u00007,a05923,5
u00007,a06267,4
u00007,a00062,3
u00007,a06259,2
u00007,a05179,3
u00007,a02347,2
u00007,a03815,2
u00007,a03460,5
u00007,a00473,1
u00007,a04730,5
u00007,a00669,1
u00007,a00732,5
u00007,a05018,1
u00007,a01298,1
u00007,a02503,2
u00007,a03272,4
u00007,a02959,1
u00007,a06805,4
u00007,a06439,4
u00007,a02872,3
u00007,a06271,5
u00007,a04403,5
u00007,a00992,1
u00007,a03316,4
u00007,a05177,3
u00007,a02157,1
u00007,a06900,1
u00008,a06486,1
u00008,a00178,1
u00008,a02096,2
u00008,a02221,1
u00008,a01615,4
u00008,a06595,1
u00008,a03041,3
u00008,a04745,3
u00008,a05001,1
u00008,a00072,2
u00008,a05873,4
u00008,a05432,5
u00008,a05047,1
u00008,a05460,3
u00008,a05472,5
u00008,a06372,2
u00008,a03863,2
u00008,a05789,3
u00008,a05934,1
u00008,a00825,2
u00008,a05484,4
u00008,a01607,4
u00008,a06473,3
u00008,a05766,4
u00008,a05549,5
u00008,a05756,1
u00008,a04681,1
u00008,a05889,5
u00008,a02795,4
u00008,a04630,3
u00008,a05175,3
u00008,a06517,2
u00008,a03222,1
u00008,a00147,3
u00008,a05428,5
u00008,a03528,4
u00008,a06059,4
u00008,a02185,4
u00008,a01796,4
u00008,a02992,3
u00008,a05303,3
u00008,a01430,1
u00008,a01989,1
u00008,a05706,1
u00008,a04113,4
u00008,a01854,3
u00008,a02883,4
u00008,a06053,4
u00008,a02622,5
u00008,a03687,2
u00008,a05288,5
u00008,a06057,2
u00008,a03297,3
u00008,a01286,1
u00008,a04019,2
u00008,a02833,5
u00008,a01248,1
u00008,a00789,3
u00008,a04747,3
u00008,a05148,5
u00008,a03102,4
u00008,a04027,4
u00008,a00910,3
u00008,a04549,4
u00008,a01062,4
u00008,a05205,2
u00008,a01571,1
u00008,a00807,1
u00008,a03320,4
u00008,a00738,5
u00008,a04624,1
u00008,a02687,2
u00008,a03351,3
u00008,a01090,5
u00008,a04568,1
u00008,a01254,2
u00008,a05689,3
u00008,a06285,1
u00008,a04712,1
u00008,a02496,2
u00008,a00712,4
u00008,a04382,2
u00008,a02065,2
u00008,a02932,2
u00008,a06647,3
u00008,a03341,2
u00008,a01891,2
u00008,a03441,4
u00008,a01330,2
u00008,a04554,4
u00008,a02437,4
u00008,a03240,2
u00008,a04035,2
u00008,a01816,2
u00008,a00396,5
u00008,a05890,3
u00008,a05371,3
u00008,a01185,1
u00008,a06701,1
u00008,a02961,1
u00009,a00804,1
u00009,a06242,4
u00009,a02008,4
u00009,a03781,2
u00009,a01497,2
u00009,a04663,4
u00009,a02368,2
u00009,a04903,4
u00009,a05919,4
u00009,a05877,1
u00009,a03017,4
u00009,a05576,5
u00009,a00393,5
u00009,a03978,3
u00009,a02883,1
u00009,a00530,3
u00009,a01477,2
u00009,a05276,3
u00009,a03940,4
u00009,a03219,3
u00009,a01252,3
u00009,a05133,5
u00009,a01302,3
u00009,a01779,3
u00009,a03994,4
u00009,a01669,3
u00009,a00524,4
u00009,a05965,5
u00009,a01925,4
u00009,a06010,4
u00009,a01885,3
u00009,a01024,2
u00009,a04939,4
u00009,a05695,5
u00009,a01980,2
u00009,a03419,4
u00009,a00014,5
u00009,a05081,1
u00009,a03422,1
u00009,a03908,3
u00009,a02769,3
u00009,a00937,1
u00009,a01661,3
u00009,a02999,4
u00009,a00033,5
u00009,a00231,2
u00009,a00982,5
u00009,a02208,2
u00009,a06240,3
u00009,a02397,4
u00009,a02012,1
u00009,a06007,2
u00009,a04100,3
u00009,a04546,3
u00009,a01789,5
u00009,a01561,1
u00009,a06207,1
u00009,a02812,1
u00009,a04451,3
u00009,a02560,5
u00009,a01466,5
u00009,a03988,3
u00009,a06284,5
u00009,a01861,2
u00009,a06901,4
u00009,a06783,5
u00009,a05522,1
u00009,a05361,5
u00009,a04597,2
u00009,a06739,3
u00009,a01538,3
u00009,a04432,3
u00009,a00024,4
u00009,a04636,3
u00009,a01460,2
u00009,a01247,5
u00009,a04889,3
u00009,a00037,5
u00009,a04890,5
u00009,a03006,2
u00009,a02266,1
u00009,a05653,4
u00009,a06469,3
u00009,a04187,4
u00009,a03119,3
u00009,a05034,1
u00009,a02815,4
u00009,a02368,4
u00009,a00064,2
u00009,a02473,4
u00009,a00149,3
u00009,a00144,2
u00009,a00309,1
u00010,a03416,1
u00010,a01885,2
u00010,a05944,5
u00010,a01859,3
u00010,a02567,4
u00010,a02083,5
u00010,a00850,5
u00010,a01733,4
u00010,a00110,5
u00010,a03716,5
u00010,a05203,2
u00010,a00108,4
u00010,a01775,4
u00010,a04984,3
u00010,a04519,4
u00010,a06230,1
u00010,a03135,4
u00010,a04750,4
u00010,a00443,4
u00010,a03586,5
u00010,a00562,4
u00010,a06637,3
u00010,a02317,4
u00010,a02003,5
u00010,a04076,5
u00010,a02825,5
u00010,a05175,3
u00010,a00200,1
u00010,a03481,4
u00010,a01809,3
u00010,a02593,5
u00010,a01727,3
u00010,a03896,5
u00010,a05290,1
u00010,a00948,1
u00010,a05851,5
u00010,a03485,2
u00010,a00291,4
u00010,a06206,1
u00010,a05305,5
u00010,a00988,2
u00010,a02825,4
u00010,a02633,1
u00010,a05103,2
u00010,a05274,5
u00010,a02081,4
u00010,a02092,4
u00010,a05490,3
u00010,a05801,3
u00010,a01837,1
u00010,a05546,5
u00010,a06625,4
u00010,a03347,5
u00010,a05890,2
u00010,a05579,5
u00010,a04216,4
u00010,a00410,4
u00010,a02531,3
u00010,a04987,4
u00010,a03594,4
u00010,a00834,1
u00010,a04880,2
u00010,a00224,4
u00010,a05627,3
u00010,a01742,2
u00010,a03859,2
u00010,a06157,2
u00010,a03485,1
u00010,a03518,2
u00010,a00617,1
u00010,a06091,3
u00010,a00092,1
u00010,a04133,2
u00010,a04095,5
u00010,a03159,2
u00010,a03768,1
u00010,a03676,2
u00010,a05923,5
u00010,a00620,2
u00010,a06504,4
u00010,a00886,5
u00010,a01424,5
u00010,a04924,4
u00010,a03928,3
u00010,a01065,1
u00010,a02382,2
u00010,a03908,4
u00010,a03913,2
u00010,a05557,3
u00010,a00765,4
u00011,a00413,2
u00011,a02894,4
u00011,a06855,1
u00011,a00035,1
u00011,a05500,4
u00011,a06381,3
u00011,a01159,2
u00011,a04471,1
u00011,a05859,3
u00011,a00650,5
u00011,a02564,5
u00011,a05310,2
u00011,a02714,1
u00011,a01066,1
u00011,a04765,4
u00011,a02243,4
u00011,a02957,5
u00011,a05116,2
u00011,a03838,1
u00011,a01722,2
u00011,a04365,3
u00011,a04733,1
u00011,a03035,2
u00011,a03908,3
u00011,a04759,3
u00011,a03529,5
u00011,a05463,4
u00011,a06532,1
u00011,a06006,3
u00011,a05151,4
u00011,a05493,5
u00011,a02577,2
u00011,a01327,5
u00011,a02035,1
u00011,a02627,5
u00011,a02054,3
u00011,a06627,3
u00011,a06942,3
u00011,a01879,2
u00011,a04768,5
u00011,a06904,4
u00011,a05241,4
u00011,a03705,4
u00011,a02669,4
u00011,a01186,2
u00011,a01450,4
u00011,a06151,3
u00011,a01036,1
u00011,a06320,3
u00011,a03305,5
u00011,a05520,2
u00011,a01288,5
u00011,a04317,5
u00011,a00494,5
u00011,a04141,1
u00011,a05784,2
u00011,a03928,1
u00011,a00476,2
u00011,a02193,1
u00011,a05369,5
u00011,a00965,3
u00011,a00373,4
u00011,a03813,3
u00011,a06740,5
u00011,a06898,1
u00011,a02919,3
u00011,a04704,4
u00011,a02537,5
u00011,a06753,1
u00011,a05384,2
u00011,a02149,5
u00011,a04789,3
u00011,a01617,1
u00011,a02847,2
u00011,a06815,4
u00011,a00674,3
u00011,a05371,3
u00011,a06785,4
u00011,a01545,2
u00011,a00766,5
u00011,a02096,5
u00011,a04965,3
u00011,a04051,3
u00011,a05919,1
u00011,a02332,2
u00011,a02266,4
u00011,a04438,1
u00011,a06472,2
u00011,a05688,2
u00011,a06006,5
u00011,a01054,5
u00011,a00242,5
u00011,a05367,3
u00011,a05532,2
u00011,a00106,4
u00011,a00021,2
u00011,a02244,4
u00011,a06492,1
u00012,a02146,1
u00012,a00679,5
u00012,a04506,5
u00012,a05702,1
u00012,a06308,5
u00012,a06652,4
u00012,a06495,4
u00012,a04702,2
u00012,a05862,1
u00012,a05753,1
u00012,a05747,3
u00012,a04992,3
u00012,a03489,3
u00012,a01075,5
u00012,a01961,1
u00012,a04449,5
u00012,a00279,1
u00012,a05217,4
u00012,a06735,3
u00012,a05788,3
u00012,a05991,2
u00012,a03294,5
u00012,a00699,4
u00012,a01244,1
u00012,a03451,1
u00012,a02488,3
u00012,a02320,5
u00012,a04980,2
u00012,a04235,5
u00012,a05903,1
u00012,a00820,4
u00012,a06139,5
u00012,a00020,2
u00012,a03409,2
u00012,a00009,1
u00012,a02095,1
u00012,a06191,2
u00012,a04848,5
u00012,a06618,1
u00012,a01009,1
u00012,a05713,4
u00012,a00187,4
u00012,a01902,4
u00012,a00827,3
u00012,a04245,3
u00012,a05905,4
u00012,a02320,4
u00012,a02302,3
u00012,a03891,4
u00012,a04073,5
u00012,a03190,5
u00012,a02361,5
u00012,a00539,1
u00012,a01286,4
u00012,a04028,3
u00012,a04224,3
u00012,a03282,5
u00012,a00756,3
u00012,a01628,3
u00012,a06356,4
u00012,a05493,3
u00012,a05890,1
u00012,a02609,4
u00012,a06450,3
u00012,a06359,4
u00012,a04533,3
u00012,a00510,2
u00012,a05523,3
u00012,a00886,4
u00012,a00365,3
u00012,a04989,4
u00012,a03634,1
u00012,a01088,3
u00012,a06888,3
u00012,a04522,1
u00012,a04391,4
u00012,a06090,4
u00012,a05725,5
u00012,a00654,5
u00012,a04161,5
u00012,a03630,4
u00012,a01544,3
u00012,a06070,5
u00012,a05586,5
u00012,a06416,3
u00012,a00188,1
u00012,a02074,1
u00012,a01382,3
u00012,a03245,2
u00012,a06148,1
u00012,a01252,1
u00012,a02473,1
u00012,a06093,5
u00012,a01394,5
u00012,a01479,5
u00012,a04168,1
u00012,a00135,4
u00013,a06506,3
u00013,a00081,3
u00013,a03183,4
u00013,a05671,1
u00013,a02651,3
u00013,a02758,3
u00013,a01996,5
u00013,a04174,5
u00013,a01409,4
u00013,a04875,5
u00013,a04392,2
u00013,a02622,4
u00013,a02261,2
u00013,a01295,1
u00013,a05868,4
u00013,a05446,4
u00013,a00808,1
u00013,a05651,1
u00013,a05880,4
u00013,a05532,2
u00013,a02034,5
u00013,a04917,3
u00013,a01671,3
u00013,a05119,5
u00013,a00693,2
u00013,a03411,2
u00013,a04888,4
u00013,a05676,3
u00013,a01835,4
u00013,a00623,5
u00013,a00015,4
u00013,a00689,5
u00013,a00600,1
u00013,a03300,2
u00013,a03725,4
u00013,a03704,1
u00013,a04683,3
u00013,a03320,2
u00013,a03509,5
u00013,a01488,3
u00013,a01060,2
u00013,a02343,5
u00013,a00277,2
u00013,a05060,5
u00013,a02069,2
u00013,a01529,5
u00013,a06027,3
u00013,a03760,1
u00013,a02861,4
u00013,a00643,5
u00013,a04157,4
u00013,a04561,5
u00013,a03789,5
u00013,a02519,4
u00013,a05541,2
u00013,a03997,5
u00013,a01743,1
u00013,a06243,5
u00013,a04763,5
u00013,a00666,1
u00013,a04052,5
u00013,a04041,2
u00013,a05535,5
u00013,a01991,1
u00013,a05795,5
u00013,a05980,4
u00013,a01793,3
u00013,a04965,3
u00013,a03674,3
u00013,a00766,4
u00013,a04166,3
u00013,a03755,2
u00013,a02122,1
u00013,a00882,2
u00013,a04565,4
u00013,a00481,1
u00013,a02870,3
u00013,a05502,2
u00013,a03943,4
u00013,a04603,4
u00013,a04574,3
u00013,a06209,4
u00013,a05987,1
u00013,a01889,2
u00013,a04562,4
u00013,a06512,5
u00013,a02007,4
u00013,a04888,5
u00013,a01894,4
u00013,a03756,4
u00013,a00383,3
u00013,a06386,3
u00013,a01785,1
u00014,a00469,4
u00014,a06306,4
u00014,a05602,2
u00014,a04497,2
u00014,a05074,3
u00014,a06309,1
u00014,a02663,5
u00014,a05414,5
u00014,a00241,1
u00014,a06274,5
u00014,a03084,4
u00014,a03528,2
u00014,a00859,2
u00014,a06056,4
u00014,a03751,1
u00014,a02236,4
u00014,a06889,2
u00014,a05532,4
u00014,a03974,2
u00014,a02516,5
u00014,a04779,3
u00014,a02291,1
u00014,a01002,3
u00014,a05659,1
u00014,a00009,1
u00014,a01546,2
u00014,a00469,4
u00014,a06089,1
u00014,a04578,5
u00014,a06119,2
u00014,a00737,2
u00014,a06200,2
u00014,a01768,1
u00014,a03945,5
u00014,a02157,4
u00014,a00803,4
u00014,a00239,4
u00014,a06629,2
u00014,a05092,2
u00014,a04315,1
u00014,a06298,1
u00014,a04746,1
u00014,a04820,2
u00014,a04134,1
u00014,a00292,1
u00014,a05438,4
u00014,a06384,2
u00014,a00288,3
u00014,a03663,5
u00014,a02133,1
u00014,a00298,1
u00014,a01138,4
u00014,a02682,1
u00014,a02374,4
u00014,a02370,3
u00014,a02831,5
u00014,a02385,5
u00014,a03440,1
u00014,a06274,5
u00014,a05086,2
u00014,a02258,4
u00014,a00830,3
u00014,a04149,4
u00014,a05748,5
u00014,a04932,3
u00014,a01139,4
u00014,a02060,5
u00014,a03515,2
u00014,a00200,2
u00014,a05230,2
u00014,a06536,1
u00014,a06535,1
u00014,a03504,1
u00014,a05213,1
u00014,a02279,4
u00014,a05285,2
u00014,a01720,4
u00014,a04979,3
